Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3,NombreNormalizado
alectinib,D," Alectinib causó letalidad embriofetal en ratas y conejos, anomalías viscerales y esqueléticas en ratas, y malformaciones viscerales y variaciones esqueléticas en conejos.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,alectinib
alefacept,do,,Alergia y sistema inmunológico,Inmunomodificadores,,alefacept
alemtuzumab,B2,,Agentes antineoplásicos,anticuerpos monoclonales,,alemtuzumab
alendronato,B3,,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,Bifosfonatos,alendronato
alfentanilo,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides,alfentanilo
alfuzosina,B2,,Sistema genitourinario,Hiperplasia de próstata,,alfuzosina
alginatos/antiácidos,A,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",,alginatos/antiacidos
alglucerasa,B3,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,,alglucerasa
alglucosidasa alfa,B1,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,,alglucosidasa alfa
alimemazina,do,"Cuando se administran en dosis altas al final del embarazo, las fenotiazinas han provocado trastornos neurológicos prolongados en el bebé.",Alergia y sistema inmunológico,Antihistamínicos,,alimemazina
alirocumab,B1,,Sistema cardiovascular,Agentes hipolipidémicos,,alirocumab
aliskiren,D,"Cuando se usan durante el segundo y tercer trimestre del embarazo, los medicamentos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante el primer trimestre. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no usar ARA para el manejo de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,Antagonistas del receptor de angiotensina II e inhibidores de la renina,aliskiren
extracto de polen alergénico de 5 gramíneas,B2,,Alergia y sistema inmunológico,,,extracto de polen alergenico de 5 gramineas
alopurinol,B2,,Sistema musculoesquelético,Agentes utilizados en la gota y la hiperuricemia,,alopurinol
alogliptina/metformina,do,Es importante lograr una normoglucemia estricta durante el embarazo.,Sistema endocrino,agentes hipoglucemiantes,,alogliptina/metformina
benzoato de alogliptina,B3,,Sistema endocrino,agentes hipoglucemiantes,,benzoato de alogliptina
alpelisib,D," Según datos en animales y su mecanismo de acción, alpelisib puede causar daño fetal cuando se administra a una mujer embarazada.",Agentes antineoplásicos,,,alpelisib
inhibidor de la alfa-1-proteinasa,B2,,Sistema respiratorio,,,inhibidor de la alfa-1-proteinasa
alprazolam,do,"Las benzodiazepinas pueden causar hipotonía, depresión respiratoria e hipotermia en el recién nacido si se administran en dosis altas durante el parto. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de esta clase de fármacos.",Sistema nervioso central,Benzodiazepinas,,alprazolam
alprenolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,,alprenolol
alteplasa,B1,,Sistema cardiovascular,agentes fibrinolíticos,,alteplasa
altretamina (hexametilmelamina),D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,,altretamina (hexametilmelamina)
amantadina,B3,,Sistema nervioso central,Agentes antiparkinsonianos,,amantadina
cloruro de ambenonio,B2,,Medicamentos utilizados en la miastenia grave,,,cloruro de ambenonio
ambrisentán,incógnita,"La teratogenicidad es un efecto de clase de estos agentes, que induce múltiples anomalías fetales en estudios con animales. Es probable que estos fármacos causen defectos congénitos importantes si se utilizan durante el embarazo.",Sistema cardiovascular,Antagonista del receptor de endotelina,,ambrisentan
ametocaína (tetracaína),B2,,Medicamentos oftálmicos,,,ametocaina (tetracaina)
amifampridina,do,"No se han realizado estudios en animales para evaluar los posibles efectos adversos de la amifampridina en el desarrollo embriofetal. Sin embargo, la amifampridina puede bloquear los canales de potasio, que también contribuyen a la función normal del músculo liso uterino durante la gestación y el parto.",Sistema nervioso central,,,amifampridina
amifostina,B3,,Agentes antineoplásicos,Terapia de apoyo no citotóxica,,amifostina
amikacina,D,"Existe evidencia de una captación selectiva de aminoglucósidos por el riñón fetal, lo que resulta en daño (probablemente reversible) a las nefronas inmaduras. También se ha reportado daño al octavo par craneal tras la exposición intrauterina a algunos aminoglucósidos. Debido a su similitud química, todos los aminoglucósidos deben considerarse potencialmente nefrotóxicos y ototóxicos para el feto. Cabe destacar que las concentraciones sanguíneas terapéuticas en la madre no implican seguridad para el feto.",Antimicrobianos,Antibióticos,Aminoglucósidos,amikacina
amilorida,do,Los diuréticos ahorradores de potasio pueden provocar un trastorno electrolítico en el feto.,Sistema cardiovascular,Diuréticos,diuréticos ahorradores de potasio,amilorida
ácido aminocaproico,B3,,Sistema cardiovascular,Agentes hemostáticos,,acido aminocaproico
aminoglutetimida,D,Se han reportado casos de pseudohermafrodismo con el uso de este medicamento durante el embarazo.,Agentes antineoplásicos,Agentes antineoplásicos hormonales,,aminoglutetimida
aminoglutetimida,D,Se han reportado casos de pseudohermafrodismo con el uso de este medicamento durante el embarazo.,Sistema endocrino,Agentes hormonales,,aminoglutetimida
ácido aminolevulínico HCl,do,,Agentes de diagnóstico,,,acido aminolevulinico HCl
amiodarona,do,"Debido a la larga vida media de la amiodarona y su principal metabolito, y a su potencial para causar función tiroidea anormal y bradicardia en el feto, probablemente sea mejor evitar su uso durante los tres meses previos al embarazo y durante todo el mismo. Cuando la exposición del feto sea inevitable, se debe evaluar la función tiroidea (incluida la TSH) del recién nacido con prontitud.",Sistema cardiovascular,Antiarrítmicos,,amiodarona
amisulprida,do,"Se han reportado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos. La gravedad de estas complicaciones ha variado. Si bien en algunos casos los síntomas han remitido espontáneamente, en otros los neonatos han requerido apoyo en la unidad de cuidados intensivos y hospitalización prolongada. La amisulprida solo debe usarse durante el embarazo si el beneficio potencial justifica el riesgo potencial para el feto.",Sistema nervioso central,fármacos antipsicóticos,,amisulprida
amitriptilina,do,Se han reportado síntomas de abstinencia en recién nacidos con el uso materno prolongado de antidepresivos tricíclicos.,Sistema nervioso central,antidepresivos,antidepresivos tricíclicos,amitriptilina
amivantamab,D," Se sabe que la IgG1 atraviesa la placenta. Por lo tanto, el amivantamab podría transmitirse de una paciente embarazada al feto en desarrollo. La administración de otras moléculas inhibidoras del EGFR o MET a animales gestantes ha provocado un aumento en la incidencia de deterioro del desarrollo embriofetal, embrioletalidad y aborto.",Agentes antineoplásicos,anticuerpos monoclonales,,amivantamab
amlodipino,do, Los bloqueadores de los canales de calcio tienen el potencial de producir hipoxia fetal asociada con hipotensión materna.,Sistema cardiovascular,Antihipertensivos,bloqueadores de los canales de calcio,amlodipino
amlodipino/atorvastatina,D,"Los bloqueadores de los canales de calcio pueden producir hipoxia fetal asociada a la hipotensión materna. El colesterol y otros productos de la biosíntesis del colesterol son componentes esenciales para el desarrollo fetal, incluyendo la síntesis de esteroides y membranas celulares. Debido a la capacidad de los inhibidores de la HMG-CoA reductasa para disminuir la síntesis de colesterol y posiblemente otros productos de la biosíntesis del colesterol, estos fármacos pueden causar daño fetal si se administran a una mujer embarazada. La hiperlipidemia fisiológica del embarazo no requiere tratamiento.",Sistema cardiovascular,,,amlodipino/atorvastatina
amlodipino/hidroclorotiazida/valsartán,D,"Los bloqueadores de los canales de calcio pueden producir hipoxia fetal asociada a la hipotensión materna. Cuando se utilizan durante el segundo y tercer trimestre del embarazo, los fármacos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no utilizar ARA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo. Las tiazidas, los diuréticos relacionados y los diuréticos de asa pueden causar alteraciones electrolíticas en el feto. Se ha reportado trombocitopenia neonatal con el uso de tiazidas y diuréticos relacionados. Los diuréticos de asa, como la furosemida y la bumetanida, probablemente también estén asociados a este riesgo. Durante la última parte del embarazo, los productos de este tipo sólo deben administrarse bajo indicaciones sólidas y en la dosis efectiva más baja.",Sistema cardiovascular,,,amlodipino/hidroclorotiazida/valsartan
amlodipino/olmesartán medoxomilo,D,"Los bloqueadores de los canales de calcio pueden producir hipoxia fetal asociada a la hipotensión materna. Cuando se utilizan durante el segundo y tercer trimestre del embarazo, los fármacos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no utilizar ARA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,,amlodipino/olmesartan medoxomilo
amlodipino/olmesartán medoxomilo/hidroclorotiazida,D,"Los bloqueadores de los canales de calcio pueden producir hipoxia fetal asociada a la hipotensión materna. Cuando se utilizan durante el segundo y tercer trimestre del embarazo, los fármacos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no utilizar ARA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo. Las tiazidas, los diuréticos relacionados y los diuréticos de asa pueden causar alteraciones electrolíticas en el feto. Se ha reportado trombocitopenia neonatal con el uso de tiazidas y diuréticos relacionados. Los diuréticos de asa, como la furosemida y la bumetanida, probablemente también estén asociados a este riesgo. Durante la última parte del embarazo, los productos de este tipo sólo deben administrarse bajo indicaciones sólidas y en la dosis efectiva más baja.",Sistema cardiovascular,,,amlodipino/olmesartan medoxomilo/hidroclorotiazida
amlodipino/telmisartán,D,"Los bloqueadores de los canales de calcio pueden producir hipoxia fetal asociada a la hipotensión materna. Cuando se utilizan durante el segundo y tercer trimestre del embarazo, los fármacos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no utilizar ARA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,,amlodipino/telmisartan
amlodipino/valsartán,D,"Los bloqueadores de los canales de calcio pueden producir hipoxia fetal asociada a la hipotensión materna. Cuando se utilizan durante el segundo y tercer trimestre del embarazo, los fármacos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no utilizar ARA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,,amlodipino/valsartan
cloruro amónico,A,,Sistema respiratorio,Expectorantes y mucolíticos,,cloruro amonico
amobarbital,do,"Los barbitúricos pueden causar hipotensión, depresión respiratoria e hipotermia en el recién nacido. Debe evitarse el tratamiento continuo durante el embarazo y su administración durante el parto.",Sistema nervioso central,Hipnóticos y sedantes,Barbitúricos,amobarbital
amorolfina,B3,,Medicamentos utilizados en Dermatología,"Antifúngicos tópicos, antisépticos (ver también agentes antifúngicos)",,amorolfina
amoxicilina,A,,Antimicrobianos,Antibióticos,penicilinas,amoxicilina
anfotericina,B3,,Antimicrobianos,Agentes antimicóticos (ver también antimicóticos tópicos),,anfotericina
 anfotericina B (liposomal),B3,,Antimicrobianos,Agentes antimicóticos (ver también antimicóticos tópicos),, anfotericina B (liposomal)
ampicilina,A,,Antimicrobianos,Antibióticos,penicilinas,ampicilina
amprenavir,B3,,Antimicrobianos,agentes antivirales,,amprenavir
amsacrina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,,amsacrina
amilobarbital (amobarbital),do,"Los barbitúricos pueden causar hipotensión, depresión respiratoria e hipotermia en el recién nacido. Debe evitarse el tratamiento continuo durante el embarazo y su administración durante el parto.",Sistema nervioso central,Hipnóticos y sedantes,Barbitúricos,amilobarbital (amobarbital)
anagrelida,B3,,Agentes antineoplásicos,,,anagrelida
Anakinra,B1,,Alergia y sistema inmunológico,Inmunomodificadores,,Anakinra
anastrozol,do,Este medicamento altera el metabolismo dependiente de estrógenos y puede provocar aborto.,Agentes antineoplásicos,Agentes antineoplásicos hormonales,,anastrozol
ancestros,B2,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,,ancestros
andexanet alfa,B2,,"Agentes desintoxicantes, antídotos",,,andexanet alfa
anecortave,B1,,Medicamentos oftálmicos,,,anecortave
anidulafungina,B3,,Antimicrobianos,Agentes antimicóticos (ver también antimicóticos tópicos),,anidulafungina
anifrolumab,do,"En teoría, podría existir un mayor riesgo de ciertas infecciones virales en los bebés (humanos) expuestos a anifrolumab durante la última etapa del período gestacional.",Alergia y sistema inmunológico,Inmunomodificadores,,anifrolumab
anistreplasa,do,,Sistema cardiovascular,agentes fibrinolíticos,,anistreplasa
antitrombina III,do,,Sistema cardiovascular,Agentes hemostáticos,,antitrombina III
inmunoglobulina antitimocítica,do,,Alergia y sistema inmunológico,Inmunomodificadores,,inmunoglobulina antitimocitica
apalutamida,D,Por su mecanismo de acción puede producir daño fetal si se administra durante el embarazo.,Agentes antineoplásicos,Agentes antineoplásicos hormonales,,apalutamida
apixabán,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,,apixaban
apomorfina,B3,,Sistema nervioso central,Agentes antiparkinsonianos,,apomorfina
apraclonidina,B3,,Medicamentos oftálmicos,,,apraclonidina
apremilast,B3,,Alergia y sistema inmunológico,Inmunomodificadores,,apremilast
aprepitant,B1,,Agentes antineoplásicos,Terapia de apoyo no citotóxica,,aprepitant
aprotinina,B1,,Sistema cardiovascular,Agentes hemostáticos,,aprotinina
argipresina,B2,,Sistema endocrino,Antidiuréticos,,argipresina
aripiprazol,do,"Se han reportado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos. La gravedad de estas complicaciones ha variado. Si bien en algunos casos los síntomas han remitido espontáneamente, en otros los neonatos han requerido apoyo en la unidad de cuidados intensivos y hospitalización prolongada. El aripiprazol solo debe usarse durante el embarazo si el beneficio potencial justifica el riesgo potencial para el feto.",Sistema nervioso central,fármacos antipsicóticos,,aripiprazol
armodafinilo,D,Este medicamento es embriotóxico y fetotóxico cuando se administra a ratas y conejas preñadas.,Sistema nervioso central,estimulantes del sistema nervioso central,,armodafinilo
trióxido de arsénico,incógnita,"En hámsteres, ratas y ratones, la administración parenteral de arsenito durante la organogénesis produjo malformaciones fetales, incluyendo defectos del tubo neural, oculares, faciales, genitourinarios y esqueléticos. El tratamiento con arsenito en ratones durante la gestación también ha producido una respuesta tumorígena generalizada en las crías.",Agentes antineoplásicos,,,trioxido de arsenico
artemeter con lumefantina,D," Se sabe que las artemisininas son embriotóxicas en animales, causando malformaciones cardiovasculares y esqueléticas. Según estudios en animales, se sospecha que el artemeter causa graves defectos congénitos cuando se administra durante el primer trimestre del embarazo.",Antimicrobianos,Antipalúdicos,,artemeter con lumefantina
articaína,B3,,Medicamentos utilizados en anestesia,Anestésicos locales,,articaina
articaína / adrenalina,B3,,Medicamentos utilizados en anestesia,Anestésicos locales,,articaina / adrenalina
clorhidrato de asciminib,D,"El asciminib puede causar daño fetal si se administra a mujeres embarazadas. En ratas y conejas preñadas tratadas, la administración de asciminib durante la organogénesis indujo embriotoxicidad, fetotoxicidad y teratogenicidad.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,clorhidrato de asciminib
asenapina,do,"Se han reportado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos. La gravedad de estas complicaciones ha variado. Si bien en algunos casos los síntomas han remitido espontáneamente, en otros los neonatos han requerido apoyo en la unidad de cuidados intensivos y hospitalización prolongada. Asenapina solo debe usarse durante el embarazo si el beneficio potencial justifica el riesgo potencial para el feto.",Sistema nervioso central,fármacos antipsicóticos,,asenapina
asfotasa alfa (rch),do,Existe un efecto potencial sobre el desarrollo óseo embriofetal y neonatal con la producción de anticuerpos contra la asfotasa alfa.,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,,asfotasa alfa (rch)
asparaginasa,D,"La citotoxicidad de la actividad de la asparaginasa supone un riesgo de aborto espontáneo, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Antimetabolitos,,asparaginasa
aspirina,do,"La aspirina inhibe la síntesis de prostaglandinas. Administrada al final del embarazo, puede causar el cierre prematuro del conducto arterioso fetal y retrasar el parto. La aspirina aumenta el tiempo de sangrado tanto en el recién nacido como en la madre debido a sus efectos antiplaquetarios. Se deben evitar los productos que contienen aspirina durante el último trimestre. La aspirina en dosis bajas (100 mg/día) no afecta el tiempo de sangrado.",Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),,aspirina
aspirina / dipiridamol,do,"La aspirina inhibe la síntesis de prostaglandinas. Administrada al final del embarazo, puede causar el cierre prematuro del conducto arterioso fetal y retrasar el parto. La aspirina aumenta el tiempo de sangrado tanto en el recién nacido como en la madre debido a sus efectos antiplaquetarios. Se deben evitar los productos que contienen aspirina durante el último trimestre. La aspirina en dosis bajas (100 mg/día) no afecta el tiempo de sangrado.",Sistema cardiovascular,Vasodilatadores,,aspirina / dipiridamol
asunaprevir,B1,,Antimicrobianos,agentes antivirales,,asunaprevir
atazanavir,B2,,Antimicrobianos,agentes antivirales,,atazanavir
atazanavir/cobicistat,B2,,Antimicrobianos,agentes antivirales,,atazanavir/cobicistat
atenolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,,atenolol
atezolizumab,D,"PD-1/PD-L1 interviene en la tolerancia fetomaterna. Su administración durante el embarazo puede causar daño fetal, incluyendo aborto o muerte fetal.",Agentes antineoplásicos,anticuerpos monoclonales,,atezolizumab
atomoxetina,B3,,Sistema nervioso central,estimulantes del sistema nervioso central,,atomoxetina
atorvastatina,D,"El colesterol y otros productos de la biosíntesis del colesterol son componentes esenciales para el desarrollo fetal, incluyendo la síntesis de esteroides y membranas celulares. Debido a la capacidad de los inhibidores de la HMG-CoA reductasa para disminuir la síntesis de colesterol y posiblemente otros productos de la biosíntesis del colesterol, estos fármacos pueden causar daño fetal si se administran a una mujer embarazada. La hiperlipidemia fisiológica del embarazo no requiere tratamiento.",Sistema cardiovascular,Agentes hipolipidémicos,,atorvastatina
atorvastatina/ezetimiba,D,"El colesterol y otros productos de la biosíntesis del colesterol son componentes esenciales para el desarrollo fetal, incluyendo la síntesis de esteroides y membranas celulares. Debido a la capacidad de los inhibidores de la HMG-CoA reductasa para disminuir la síntesis de colesterol y posiblemente otros productos de la biosíntesis del colesterol, estos fármacos pueden causar daño fetal si se administran a una mujer embarazada. La hiperlipidemia fisiológica del embarazo no requiere tratamiento.",Sistema cardiovascular,Agentes hipolipidémicos,,atorvastatina/ezetimiba
atovacuona,B2,,Antimicrobianos,Antibióticos,,atovacuona
atracurio,do,No se han demostrado efectos adversos en el feto ni en el recién nacido.,Medicamentos utilizados en anestesia,Agentes bloqueadores neuromusculares,,atracurio
atropina,A,,Sistema alimentario,Antiespasmódicos,,atropina
atropina,A,,Agentes colinérgicos y anticolinérgicos,,,atropina
metonitrato de atropina,B2,,Agentes colinérgicos y anticolinérgicos,,,metonitrato de atropina
auranofina,B3,,Sistema musculoesquelético,agentes antirreumatoides,,auranofina
aurotioglucosa,B2,,Sistema musculoesquelético,agentes antirreumatoides,,aurotioglucosa
avacopan,D,"La administración oral de avacopan a hámsteres preñados durante el período de organogénesis provocó una mayor incidencia de variaciones esqueléticas en ausencia de toxicidad materna, mientras que en conejos se observó un aumento en el número de abortos en exposiciones maternas subclínicas.",Alergia y sistema inmunológico,Inmunomodificadores,,avacopan
avalglucosidasa alfa,B1,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,,avalglucosidasa alfa
maleato de avatrombopag,B3,,Sangre y sistema hematopoyético,,,maleato de avatrombopag
avelumab,D,"PD-1/PD-L1 interviene en la tolerancia fetomaterna. Su administración durante el embarazo puede causar daño fetal, incluyendo aborto o muerte fetal.",Agentes antineoplásicos,anticuerpos monoclonales,,avelumab
 axicabtagene ciloleucel,do,"Según el mecanismo de acción, si las células transducidas atraviesan la placenta, pueden causar toxicidad fetal, incluida linfocitopenia de células B.",Agentes antineoplásicos,,, axicabtagene ciloleucel
axitinib,D,La angiogénesis juega un papel clave en el desarrollo embriofetal. Los inhibidores del receptor VEGF inhiben la angiogénesis y pueden causar daño fetal cuando se administran a mujeres embarazadas.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,axitinib
azacitidina,incógnita,"La azacitidina no debe utilizarse durante el embarazo. No existen datos suficientes sobre su uso en mujeres embarazadas. Estudios en animales han mostrado toxicidad reproductiva, incluyendo efectos teratogénicos a dosis relativamente bajas. La azacitidina también presentó efectos adversos en el desarrollo embriofetal tras el tratamiento en ratas macho.",Agentes antineoplásicos,Antimetabolitos,,azacitidina
azatadina,B2,,Alergia y sistema inmunológico,Antihistamínicos,,azatadina
